Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/16-Seth-Canyon-Rd-Mount-Kisco-NY-10549/33062254_zpid/","","845000","05/24/2024","2688","sqft","314.36","1.1","acres","4","3","16 Seth Canyon Drive","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/304-Sutton-Dr-304-Mount-Kisco-NY-10549/342692042_zpid/","","449900","05/23/2024","1130","sqft","398.14","436","sqft","2","2","304 Sutton Drive UNIT 304","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/56-Laurelton-Rd-Mount-Kisco-NY-10549/33062192_zpid/","","650000","05/22/2024","1336","sqft","486.53","0.82","acres","3","2","56 Laurelton Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/43-1-2-Carpenter-Ave-APT-D-Mount-Kisco-NY-10549/2052916105_zpid/","","200000","05/20/2024","750","sqft","266.67","","","1","1","43 1/2 Carpenter Avenue UNIT D","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/18-Langeland-Dr-Mount-Kisco-NY-10549/33106670_zpid/","","888000","05/15/2024","3136","sqft","283.16","0.35","acres","6","5","18 Langeland Drive","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/201-Grove-St-Mount-Kisco-NY-10549/33106369_zpid/","","900000","05/13/2024","","","","0.5","acres","6","6","201 Grove St","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/43-Kisco-Park-Dr-Mount-Kisco-NY-10549/33062596_zpid/","","925000","05/10/2024","1411","sqft","655.56","0.56","acres","2","1","43 Kisco Park Drive","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/26-Glassbury-Ct-Mount-Kisco-NY-10549/72248366_zpid/","","1050000","05/10/2024","3520","sqft","298.3","3297","sqft","3","4","26 Glassbury Court","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/18-Hammond-Ridge-Rd-Mount-Kisco-NY-10549/109950090_zpid/","","2725000","05/08/2024","5722","sqft","476.23","2.92","acres","4","5","18 Hammond Ridge Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/212-Spring-St-Mount-Kisco-NY-10549/33106530_zpid/","","591030","05/07/2024","1203","sqft","491.3","9313","sqft","3","2","212 Spring Street","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/200-Chestnut-Ridge-Rd-Bedford-Corners-NY-10549/33011929_zpid/","","892500","05/06/2024","1740","sqft","512.93","4.45","acres","4","2","200 Chestnut Ridge Road","Bedford Corners","10549","NY","USA"
"https://www.zillow.com/homedetails/300-Woodcrest-Ln-Mount-Kisco-NY-10549/294983196_zpid/","","485000","05/02/2024","","","","","","","","300 Woodcrest Ln","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/34-Indian-Hill-Rd-Mount-Kisco-NY-10549/33062284_zpid/","","1899000","05/01/2024","3530","sqft","537.96","1.08","acres","4","4","34 Indian Hill Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/3-Dunster-Rd-Mount-Kisco-NY-10549/33062229_zpid/","","625000","04/30/2024","1250","sqft","500","10454","sqft","3","2","3 Dunster Road","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/300-Woodcrest-Ln-APT-327-Mount-Kisco-NY-10549/342061258_zpid/","","485000","04/30/2024","1445","sqft","335.64","431","sqft","2","2","300 Woodcrest Lane UNIT 327","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/11-Cerf-Ln-Mount-Kisco-NY-10549/66525745_zpid/","","2600000","04/26/2024","4272","sqft","608.61","1.84","acres","4","5","11 Cerf Ln","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/360-Crow-Hill-Rd-Mount-Kisco-NY-10549/58431650_zpid/","","1000000","04/23/2024","5433","sqft","184.06","5.7","acres","4","4","360 Crow Hill Rd","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/49-Indian-Hill-Rd-Mount-Kisco-NY-10549/33062291_zpid/","","1499000","04/22/2024","3274","sqft","457.85","1.37","acres","4","3.5","49 Indian Hill Rd","Mount Kisco","10549","NY","USA"
"https://www.zillow.com/homedetails/1-West-St-Mount-Kisco-NY-10549/33106301_zpid/","","555000","04/22/2024","1477","sqft","375.76","7532","sqft","2","2","1 West Street","Mount Kisco","10549","NY","USA"
