Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/140-June-Rd-North-Salem-NY-10560/33072232_zpid/","","775000","05/14/2024","2292","sqft","338.13","2.12","acres","4","4","140 June Road","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/25-Cotswold-Dr-North-Salem-NY-10560/33072396_zpid/","","725000","05/13/2024","2908","sqft","249.31","5227","sqft","2","4","25 Cotswold Drive","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/25-Whittier-Hills-Rd-North-Salem-NY-10560/33072839_zpid/","","525000","05/08/2024","3000","sqft","175","1","acres","4","2","25 Whittier Hills Rd","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/384-Hardscrabble-Rd-North-Salem-NY-10560/33071491_zpid/","","1350000","05/06/2024","4814","sqft","280.43","6.3","acres","3","4","384 Hardscrabble Road","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/12-McMorrow-Ln-North-Salem-NY-10560/33072128_zpid/","","5900000","05/06/2024","7988","sqft","738.61","8.65","acres","6","6","12 Mcmorrow Lane","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/34-54-54-Reed-Rd-North-Salem-NY-10560/131553382_zpid/","","1550000","04/05/2024","","","","130.07","acres","","","34-54 54 Reed Rd","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/15-Lakeview-Rd-North-Salem-NY-10560/33072195_zpid/","","399901","04/04/2024","2414","sqft","165.66","1.16","acres","4","2","15 Lakeview Rd","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/247-Hawley-Rd-North-Salem-NY-10560/33073107_zpid/","","2000010","03/19/2024","4131","sqft","484.15","20.9","acres","6","5","247 Hawley Rd","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/36-Sugar-Hill-Rd-North-Salem-NY-10560/33072747_zpid/","","640000","03/18/2024","2888","sqft","221.61","1.25","acres","4","3","36 Sugar Hill Road","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/34-Reed-Rd-North-Salem-NY-10560/2060814352_zpid/","","1550000","03/15/2024","","","","159.16","acres","","","34 Reed Road","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/2-Old-Salem-Center-Rd-North-Salem-NY-10560/33072322_zpid/","","629000","03/04/2024","3200","sqft","196.56","2","acres","4","3","2 Old Salem Center Rd","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/71-Lake-St-North-Salem-NY-10560/33071816_zpid/","","350000","02/06/2024","780","sqft","448.72","4791","sqft","2","1","71 Lake St","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/4-Fox-Den-Ln-North-Salem-NY-10560/33073005_zpid/","","880000","01/30/2024","2672","sqft","329.34","1.11","acres","4","3","4 Fox Den Lane","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/4-Cotswold-Dr-North-Salem-NY-10560/33072382_zpid/","","630000","01/12/2024","2119","sqft","297.31","6098","sqft","2","3","4 Cotswold Drive","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/10-Cottage-Ln-North-Salem-NY-10560/33071739_zpid/","","110000","01/02/2024","836","sqft","131.58","","","2","1","10 Cottage Lane","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/204-Keeler-Ln-North-Salem-NY-10560/33072668_zpid/","","925000","01/02/2024","2717","sqft","340.45","3.3","acres","3","2","204 Keeler Lane","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/212-Hunt-Ln-North-Salem-NY-10560/33072650_zpid/","","1300000","12/21/2023","2670","sqft","486.89","2","acres","3","3","212 Hunt Lane","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/16-Sugar-Hill-Rd-North-Salem-NY-10560/33072737_zpid/","","520000","12/20/2023","1696","sqft","306.6","1.13","acres","3","2","16 Sugar Hill Road","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/13-Cotswold-Dr-North-Salem-NY-10560/33072415_zpid/","","562000","12/15/2023","2050","sqft","274.15","","","2","3","13 Cotswold Drive","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/286-Hardscrabble-Rd-North-Salem-NY-10560/33071478_zpid/","","999500","12/14/2023","2293","sqft","435.89","6.3","acres","3","2","286 Hardscrabble Road","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/459-Route-22-North-Salem-NY-10560/33072767_zpid/","","410000","12/12/2023","1557","sqft","263.33","1.12","acres","3","1","459 Route 22","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/753-Titicus-Rd-North-Salem-NY-10560/33072706_zpid/","","15200000","12/11/2023","","","","11.69","acres","","","753 Titicus Rd","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/577-Grant-Rd-North-Salem-NY-10560/33072559_zpid/","","2350000","12/08/2023","4193","sqft","560.46","10.1","acres","3","4","577 Grant Road","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/168-Finch-Rd-North-Salem-NY-10560/33071871_zpid/","","1113000","12/01/2023","3431","sqft","324.4","13.11","acres","4","3.5","168 Finch Rd","North Salem","10560","NY","USA"
"https://www.zillow.com/homedetails/186-Mills-Rd-North-Salem-NY-10560/33072491_zpid/","","999000","11/29/2023","3648","sqft","273.85","2.6","acres","4","4","186 Mills Road","North Salem","10560","NY","USA"
