Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/1-Mazza-Ct-Pomona-NY-10970/32383365_zpid/","","690000","05/14/2024","2188","sqft","315.36","0.35","acres","3","3","1 Mazza Court","Pomona","10970","NY","USA"
"https://www.zillow.com/homedetails/605-Gilbert-Ave-Pearl-River-NY-10965/32391076_zpid/","","605000","05/14/2024","1309","sqft","462.18","0.27","acres","3","3","605 Gilbert Avenue","Pearl River","10965","NY","USA"
"https://www.zillow.com/homedetails/92-E-Allison-Ave-Nanuet-NY-10954/53414612_zpid/","","710000","05/14/2024","2464","sqft","288.15","0.35","acres","5","3","92 E Allison Avenue","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/4-Havencrest-Dr-Thiells-NY-10984/32382986_zpid/","","618500","05/13/2024","1926","sqft","321.13","0.25","acres","4","3","4 Havencrest Drive","Thiells","10984","NY","USA"
"https://www.zillow.com/homedetails/40-3rd-Ave-Nyack-NY-10960/32385240_zpid/","","820000","05/13/2024","1523","sqft","538.41","4356","sqft","3","2","40 3rd Avenue","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/12-Howard-Ave-Tappan-NY-10983/32394229_zpid/","","745000","05/13/2024","2473","sqft","301.25","0.3","acres","4","4","12 Howard Avenue","Tappan","10983","NY","USA"
"https://www.zillow.com/homedetails/45-Franklin-Dr-Stony-Pt-NY-10980/32398863_zpid/","","562000","05/13/2024","1896","sqft","296.41","0.31","acres","4","3","45 Franklin Drive","Stony Pt","10980","NY","USA"
"https://www.zillow.com/homedetails/45-Yale-Dr-New-City-NY-10956/53394914_zpid/","","792000","05/13/2024","2138","sqft","370.44","0.34","acres","4","3","45 Yale Drive","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/647-New-Hempstead-Rd-Spring-Valley-NY-10977/53423932_zpid/","","739000","05/13/2024","","","","0.77","acres","3","3","647 New Hempstead Road","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/30-Wilshire-Dr-Spring-Valley-NY-10977/53426499_zpid/","","760000","05/13/2024","1144","sqft","664.34","0.75","acres","3","2","30 Wilshire Drive","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/11-Brayfield-Ct-Stony-Pt-NY-10980/102095415_zpid/","","850000","05/13/2024","2720","sqft","312.5","2.31","acres","4","3","11 Brayfield Court","Stony Pt","10980","NY","USA"
"https://www.zillow.com/homedetails/105-Clove-Ave-Haverstraw-NY-10927/32379058_zpid/","","455000","05/10/2024","1406","sqft","323.61","2614","sqft","3","2","105 Clove Avenue","Haverstraw","10927","NY","USA"
"https://www.zillow.com/homedetails/1037-Route-9w-S-Nyack-NY-10960/32392478_zpid/","","1360000","05/10/2024","3198","sqft","425.27","0.77","acres","3","3","1037 Route 9W S","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/145-Ridge-Rd-New-City-NY-10956/53393569_zpid/","","810000","05/10/2024","3043","sqft","266.18","0.94","acres","5","4","145 Ridge Road","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/5-Green-Hill-Ct-Nanuet-NY-10954/53412788_zpid/","","765000","05/10/2024","2347","sqft","325.95","0.48","acres","4","3","5 Green Hill Court","Nanuet","10954","NY","USA"
"https://www.zillow.com/homedetails/6-Tulip-Ln-Suffern-NY-10901/53421880_zpid/","","959000","05/10/2024","2468","sqft","388.57","0.56","acres","8","3","6 Tulip Lane","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/24-W-Gate-Rd-Suffern-NY-10901/53427190_zpid/","","999000","05/09/2024","3441","sqft","290.32","1.1","acres","5","3","24 W Gate Road","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/268-Upper-Depew-Ave-Nyack-NY-10960/32384742_zpid/","","450000","05/08/2024","900","sqft","500","6534","sqft","2","1","268 Upper Depew Avenue","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/359-S-Mountain-Rd-New-City-NY-10956/53391668_zpid/","","575000","05/08/2024","1020","sqft","563.73","1.1","acres","2","2","359 S Mountain Road","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/91-Branchville-Rd-Valley-Cottage-NY-10989/53405084_zpid/","","560000","05/08/2024","2480","sqft","225.81","0.52","acres","4","3","91 Branchville Road","Valley Cottage","10989","NY","USA"
"https://www.zillow.com/homedetails/9-Charlotte-Dr-Spring-Valley-NY-10977/53422537_zpid/","","900000","05/08/2024","2796","sqft","321.89","0.83","acres","5","4","9 Charlotte Drive","Spring Valley","10977","NY","USA"
