Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/5-Wheeler-Pl-W-West-Nyack-NY-10994/53415028_zpid/","","Single Family","665000","02/26/2024","1920","sqft","346.35","0.36","acres","","2","5 Wheeler Pl W","West Nyack","10994","NY","USA"
"https://www.zillow.com/homedetails/9-Stonehouse-Dr-Spring-Valley-NY-10977/53418500_zpid/","","Single Family","800000","02/26/2024","1951","sqft","410.05","7405","sqft","4","2","9 Stonehouse Dr","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/7-Briarwood-Ln-Suffern-NY-10901/53432042_zpid/","","Single Family","1400000","02/26/2024","3302","sqft","423.99","0.81","acres","6","4","7 Briarwood Lane","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/96-Piermont-Ave-Nyack-NY-10960/32386313_zpid/","","Single Family","550000","02/23/2024","1501","sqft","366.42","3049","sqft","3","1","96 Piermont Avenue","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/561-Mountainview-Ave-Valley-Cottage-NY-10989/53411160_zpid/","","Single Family","599999","02/23/2024","2210","sqft","271.49","0.69","acres","4","4","561 Mountainview Avenue","Valley Cottage","10989","NY","USA"
"https://www.zillow.com/homedetails/134-Union-Rd-Spring-Valley-NY-10977/53433613_zpid/","","Single Family","500000","02/23/2024","2440","sqft","204.92","0.57","acres","5","3","134 Union Rd","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/19-Lea-Ct-Garnerville-NY-10923/32383926_zpid/","","Single Family","775000","02/22/2024","2641","sqft","293.45","0.38","acres","4","3","19 Lea Court","Garnerville","10923","NY","USA"
"https://www.zillow.com/homedetails/446-W-Clarkstown-Rd-New-City-NY-10956/53399984_zpid/","","Single Family","421000","02/22/2024","1586","sqft","265.45","0.39","acres","3","2","446 W Clarkstown Road","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/3-Schuyler-Rd-Nyack-NY-10960/53415857_zpid/","","Single Family","414000","02/22/2024","1748","sqft","236.84","","","3","2","3 Schuyler Rd","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/14-Ward-St-Suffern-NY-10901/53421195_zpid/","","Single Family","613880","02/22/2024","2012","sqft","305.11","0.29","acres","5","3","14 Ward St","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/32-Sherwood-Ridge-Rd-Pomona-NY-10970/53421655_zpid/","","Single Family","725000","02/22/2024","2001","sqft","362.32","0.62","acres","3","3","32 Sherwood Ridge Road","Pomona","10970","NY","USA"
"https://www.zillow.com/homedetails/42-Balmoral-Dr-Chestnut-Ridge-NY-10977/53426144_zpid/","","Single Family","799000","02/22/2024","1870","sqft","427.27","0.43","acres","4","3","42 Balmoral Drive","Chestnut Ridge","10977","NY","USA"
"https://www.zillow.com/homedetails/23-Wilshire-Dr-Spring-Valley-NY-10977/53426524_zpid/","","Single Family","879000","02/22/2024","2122","sqft","414.23","0.57","acres","4","3","23 Wilshire Drive","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/4-Belvedere-Path-Suffern-NY-10901/53427049_zpid/","","Single Family","900000","02/22/2024","2771","sqft","324.79","0.89","acres","5","3","4 Belvedere Path","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/43-Mayer-Dr-Montebello-NY-10901/53427387_zpid/","","Single Family","985000","02/22/2024","3200","sqft","307.81","0.63","acres","5","3","43 Mayer Drive","Montebello","10901","NY","USA"
"https://www.zillow.com/homedetails/18-Golf-Course-Dr-Montebello-NY-10901/53427977_zpid/","","Single Family","2555000","02/22/2024","4601","sqft","555.31","1.19","acres","7","6","18 Golf Course Drive","Montebello","10901","NY","USA"
"https://www.zillow.com/homedetails/34-Lyncrest-Dr-Monsey-NY-10952/53431751_zpid/","","Single Family","740000","02/22/2024","2210","sqft","334.84","0.48","acres","4","3","34 Lyncrest Drive","Monsey","10952","NY","USA"
"https://www.zillow.com/homedetails/17-Dwight-Ave-Spring-Valley-NY-10977/53433521_zpid/","","Single Family","676260","02/22/2024","2281","sqft","296.48","0.29","acres","4","2","17 Dwight Ave","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/448-South-Broadway-Nyack-NY-10960/32387310_zpid/","","Single Family","587000","02/21/2024","1696","sqft","346.11","9147","sqft","3","2.5","448 South Broadway","Nyack","10960","NY","USA"
"https://www.zillow.com/homedetails/8-East-Rd-Blauvelt-NY-10913/32392299_zpid/","","Single Family","530000","02/21/2024","1574","sqft","336.72","0.4","acres","3","2","8 East Rd","Blauvelt","10913","NY","USA"
"https://www.zillow.com/homedetails/160-W-Main-St-Stony-Pt-NY-10980/32398446_zpid/","","Single Family","626000","02/21/2024","2100","sqft","298.1","1.29","acres","2","2","160 W Main Street","Stony Pt","10980","NY","USA"
"https://www.zillow.com/homedetails/19-Annette-Ln-Airmont-NY-10901/53428662_zpid/","","Single Family","818000","02/21/2024","2197","sqft","372.33","0.49","acres","4","3","19 Annette Lane","Airmont","10901","NY","USA"
"https://www.zillow.com/homedetails/115-W-Eckerson-Rd-Spring-Valley-NY-10977/53433629_zpid/","","Single Family","650000","02/21/2024","1742","sqft","373.13","0.33","acres","4","2","115 W Eckerson Road","Spring Valley","10977","NY","USA"
